job_maxsal,user_ctc,max_salary_score
"< Rs 50,000 / Yr",Rs 0 / Yr,0.564021164
"< Rs 50,000 / Yr",Rs 1.0 - 1.5 Lakh / Yr,0.071957672
"< Rs 50,000 / Yr",Rs 1.5 - 2.0 Lakh / Yr,0.046560847
"< Rs 50,000 / Yr",Rs 10 - 12 Lakh / Yr,0.003174603
"< Rs 50,000 / Yr",Rs 12 - 14 Lakh / Yr,0.005291005
"< Rs 50,000 / Yr",Rs 14 - 16 Lakh / Yr,0.004232804
"< Rs 50,000 / Yr",Rs 16 - 18 Lakh / Yr,0.001058201
"< Rs 50,000 / Yr",Rs 18 - 20 Lakh / Yr,0.001058201
"< Rs 50,000 / Yr",Rs 2.0 - 2.5 Lakh / Yr,0.084656085
"< Rs 50,000 / Yr",Rs 2.5 - 3.0 Lakh / Yr,0.027513228
"< Rs 50,000 / Yr",Rs 20 - 22 Lakh / Yr,0.001058201
"< Rs 50,000 / Yr",Rs 3.0 - 3.5 Lakh / Yr,0.063492063
"< Rs 50,000 / Yr",Rs 3.5 - 4.0 Lakh / Yr,0.022222222
"< Rs 50,000 / Yr",Rs 4.0 - 4.5 Lakh / Yr,0.032804233
"< Rs 50,000 / Yr",Rs 4.5 - 5.0 Lakh / Yr,0.004232804
"< Rs 50,000 / Yr",Rs 5 - 6 Lakh / Yr,0.024338624
"< Rs 50,000 / Yr","Rs 50,000 - 1 Lakh / Yr",0.011640212
"< Rs 50,000 / Yr",Rs 6 - 7 Lakh / Yr,0.011640212
"< Rs 50,000 / Yr",Rs 7 - 8 Lakh / Yr,0.010582011
"< Rs 50,000 / Yr",Rs 8 - 9 Lakh / Yr,0.006349206
"< Rs 50,000 / Yr",Rs 9 - 10 Lakh / Yr,0.002116402
> Rs 50 Lakh / Yr,"< Rs 50,000 / Yr",0.002207506
> Rs 50 Lakh / Yr,Rs 0 / Yr,0.293598234
> Rs 50 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.041942605
> Rs 50 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.04415011
