job_minsal,user_ctc,min_salary_score
"< Rs 50,000 / Yr",Rs 0 / Yr,0.453777073
"< Rs 50,000 / Yr",Rs 1.0 - 1.5 Lakh / Yr,0.130876915
"< Rs 50,000 / Yr",Rs 1.5 - 2.0 Lakh / Yr,0.098917063
"< Rs 50,000 / Yr",Rs 10 - 12 Lakh / Yr,0.003763867
"< Rs 50,000 / Yr",Rs 12 - 14 Lakh / Yr,0.003235605
"< Rs 50,000 / Yr",Rs 14 - 16 Lakh / Yr,0.002047015
"< Rs 50,000 / Yr",Rs 16 - 18 Lakh / Yr,0.00072636
"< Rs 50,000 / Yr",Rs 18 - 20 Lakh / Yr,0.001386688
"< Rs 50,000 / Yr",Rs 2.0 - 2.5 Lakh / Yr,0.13411252
"< Rs 50,000 / Yr",Rs 2.5 - 3.0 Lakh / Yr,0.037242472
"< Rs 50,000 / Yr",Rs 20 - 22 Lakh / Yr,0.000792393
"< Rs 50,000 / Yr",Rs 22 - 24 Lakh / Yr,0.000264131
"< Rs 50,000 / Yr",Rs 24 - 26 Lakh / Yr,0.000792393
"< Rs 50,000 / Yr",Rs 26 - 28 Lakh / Yr,0.000264131
"< Rs 50,000 / Yr",Rs 28 - 30 Lakh / Yr,0.000132066
"< Rs 50,000 / Yr",Rs 3.0 - 3.5 Lakh / Yr,0.05229794
"< Rs 50,000 / Yr",Rs 3.5 - 4.0 Lakh / Yr,0.014857369
"< Rs 50,000 / Yr",Rs 30 - 32 Lakh / Yr,0.000462229
"< Rs 50,000 / Yr",Rs 32 - 34 Lakh / Yr,0.000132066
"< Rs 50,000 / Yr",Rs 34 - 36 Lakh / Yr,6.60E-05
"< Rs 50,000 / Yr",Rs 4.0 - 4.5 Lakh / Yr,0.015385631
"< Rs 50,000 / Yr",Rs 4.5 - 5.0 Lakh / Yr,0.00647121
"< Rs 50,000 / Yr",Rs 40 - 42 Lakh / Yr,0.000264131
"< Rs 50,000 / Yr",Rs 46 - 48 Lakh / Yr,0.000132066
"< Rs 50,000 / Yr",Rs 5 - 6 Lakh / Yr,0.009310618
"< Rs 50,000 / Yr",Rs 50 - 50 Lakh / Yr,0.000528262
"< Rs 50,000 / Yr","Rs 50,000 - 1 Lakh / Yr",0.013734812
"< Rs 50,000 / Yr",Rs 6 - 7 Lakh / Yr,0.006801373
"< Rs 50,000 / Yr",Rs 7 - 8 Lakh / Yr,0.004160063
"< Rs 50,000 / Yr",Rs 8 - 9 Lakh / Yr,0.002377179
"< Rs 50,000 / Yr",Rs 9 - 10 Lakh / Yr,0.001782884
> Rs 50 Lakh / Yr,Rs 0 / Yr,0.170212766
> Rs 50 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.127659574
> Rs 50 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.021276596
"< Rs 50,000 / Yr","< Rs 50,000 / Yr",0.002905441
> Rs 50 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.042553191
> Rs 50 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.063829787
> Rs 50 Lakh / Yr,Rs 26 - 28 Lakh / Yr,0.063829787
> Rs 50 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.085106383
> Rs 50 Lakh / Yr,Rs 34 - 36 Lakh / Yr,0.021276596
> Rs 50 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.063829787
> Rs 50 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.106382979
> Rs 50 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.042553191
> Rs 50 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.127659574
> Rs 50 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.063829787
Rs 1.0 - 1.5 Lakh / Yr,"< Rs 50,000 / Yr",0.001355381
Rs 1.0 - 1.5 Lakh / Yr,Rs 0 / Yr,0.277690431
Rs 1.0 - 1.5 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.136541068
Rs 1.0 - 1.5 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.12708051
Rs 1.0 - 1.5 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.00295473
Rs 1.0 - 1.5 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.001789103
Rs 1.0 - 1.5 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.001599349
Rs 1.0 - 1.5 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.000379507
Rs 1.0 - 1.5 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.00067769
Rs 1.0 - 1.5 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.215641095
Rs 1.0 - 1.5 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.060206018
Rs 1.0 - 1.5 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.000298184
Rs 1.0 - 1.5 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.000243969
Rs 1.0 - 1.5 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.000271076
Rs 1.0 - 1.5 Lakh / Yr,Rs 26 - 28 Lakh / Yr,8.13E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.000243969
Rs 1.0 - 1.5 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.079831933
Rs 1.0 - 1.5 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.027975061
Rs 1.0 - 1.5 Lakh / Yr,Rs 30 - 32 Lakh / Yr,8.13E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 34 - 36 Lakh / Yr,2.71E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 36 - 38 Lakh / Yr,2.71E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 4.0 - 4.5 Lakh / Yr,0.021713201
Rs 1.0 - 1.5 Lakh / Yr,Rs 4.5 - 5.0 Lakh / Yr,0.007698563
Rs 1.0 - 1.5 Lakh / Yr,Rs 40 - 42 Lakh / Yr,0.000135538
Rs 1.0 - 1.5 Lakh / Yr,Rs 42 - 44 Lakh / Yr,5.42E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 46 - 48 Lakh / Yr,5.42E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 48 - 50 Lakh / Yr,2.71E-05
Rs 1.0 - 1.5 Lakh / Yr,Rs 5 - 6 Lakh / Yr,0.011818921
Rs 1.0 - 1.5 Lakh / Yr,Rs 50 - 50 Lakh / Yr,0.000840336
Rs 1.0 - 1.5 Lakh / Yr,"Rs 50,000 - 1 Lakh / Yr",0.008620222
Rs 1.0 - 1.5 Lakh / Yr,Rs 6 - 7 Lakh / Yr,0.006641366
Rs 1.0 - 1.5 Lakh / Yr,Rs 7 - 8 Lakh / Yr,0.00352399
Rs 1.0 - 1.5 Lakh / Yr,Rs 8 - 9 Lakh / Yr,0.002412578
Rs 1.0 - 1.5 Lakh / Yr,Rs 9 - 10 Lakh / Yr,0.001463811
Rs 1.5 - 2.0 Lakh / Yr,"< Rs 50,000 / Yr",0.001282131
Rs 1.5 - 2.0 Lakh / Yr,Rs 0 / Yr,0.257020452
Rs 1.5 - 2.0 Lakh / Yr,Rs 1.0 - 1.5 Lakh / Yr,0.07967978
Rs 1.5 - 2.0 Lakh / Yr,Rs 1.5 - 2.0 Lakh / Yr,0.139721058
Rs 1.5 - 2.0 Lakh / Yr,Rs 10 - 12 Lakh / Yr,0.002845706
Rs 1.5 - 2.0 Lakh / Yr,Rs 12 - 14 Lakh / Yr,0.001657389
Rs 1.5 - 2.0 Lakh / Yr,Rs 14 - 16 Lakh / Yr,0.002126462
Rs 1.5 - 2.0 Lakh / Yr,Rs 16 - 18 Lakh / Yr,0.000250172
Rs 1.5 - 2.0 Lakh / Yr,Rs 18 - 20 Lakh / Yr,0.000687973
Rs 1.5 - 2.0 Lakh / Yr,Rs 2.0 - 2.5 Lakh / Yr,0.213240353
Rs 1.5 - 2.0 Lakh / Yr,Rs 2.5 - 3.0 Lakh / Yr,0.080117581
Rs 1.5 - 2.0 Lakh / Yr,Rs 20 - 22 Lakh / Yr,0.000531615
Rs 1.5 - 2.0 Lakh / Yr,Rs 22 - 24 Lakh / Yr,0.0002189
Rs 1.5 - 2.0 Lakh / Yr,Rs 24 - 26 Lakh / Yr,0.000343986
Rs 1.5 - 2.0 Lakh / Yr,Rs 26 - 28 Lakh / Yr,3.13E-05
Rs 1.5 - 2.0 Lakh / Yr,Rs 28 - 30 Lakh / Yr,0.000125086
Rs 1.5 - 2.0 Lakh / Yr,Rs 3.0 - 3.5 Lakh / Yr,0.107792858
Rs 1.5 - 2.0 Lakh / Yr,Rs 3.5 - 4.0 Lakh / Yr,0.037713428
