job_maxexp,user_experience,max_exp_score
0 Yr,0 Yr,0.789901435
0 Yr,1 Yr,0.091129172
0 Yr,10 Yrs,0.001556286
0 Yr,11 Yrs,0.000691683
0 Yr,12 Yrs,0.000864603
0 Yr,13 Yrs,0.000345841
0 Yr,14 Yrs,0.001037524
0 Yr,15 Yrs,0.000864603
0 Yr,16 Yrs,0.000691683
0 Yr,18 Yrs,0.000518762
0 Yr,19 Yrs,0.000345841
0 Yr,2 Yrs,0.042538475
0 Yr,21 Yrs,0.000172921
0 Yr,22 Yrs,0.000172921
0 Yr,23 Yrs,0.000172921
0 Yr,24 Yrs,0.000345841
0 Yr,3 Yrs,0.025073491
0 Yr,4 Yrs,0.014871174
0 Yr,5 Yrs,0.011585682
0 Yr,6 Yrs,0.006916825
0 Yr,7 Yrs,0.003804254
0 Yr,8 Yrs,0.003977174
0 Yr,9 Yrs,0.002075048
0 Yr,> 25 Yrs,0.000345841
1 Yr,0 Yr,0.598571754
1 Yr,1 Yr,0.253285725
1 Yr,10 Yrs,0.003798526
1 Yr,11 Yrs,0.001975234
1 Yr,12 Yrs,0.001747322
1 Yr,13 Yrs,0.000607764
1 Yr,14 Yrs,0.000531794
1 Yr,15 Yrs,0.001291499
1 Yr,16 Yrs,0.000607764
1 Yr,17 Yrs,0.000303882
1 Yr,18 Yrs,0.000759705
1 Yr,19 Yrs,0.000151941
1 Yr,2 Yrs,0.055990276
1 Yr,20 Yrs,0.000455823
1 Yr,22 Yrs,0.000379853
1 Yr,23 Yrs,0.000151941
1 Yr,24 Yrs,7.60E-05
1 Yr,3 Yrs,0.025602066
1 Yr,4 Yrs,0.017245309
1 Yr,5 Yrs,0.012839018
1 Yr,6 Yrs,0.008812581
1 Yr,7 Yrs,0.00433032
1 Yr,8 Yrs,0.005165996
1 Yr,9 Yrs,0.003722556
1 Yr,> 25 Yrs,0.001595381
10 Yrs,0 Yr,0.055190772
10 Yrs,1 Yr,0.032298137
10 Yrs,10 Yrs,0.124223602
10 Yrs,11 Yrs,0.027861579
10 Yrs,12 Yrs,0.025732032
10 Yrs,13 Yrs,0.014551908
10 Yrs,14 Yrs,0.017213842
10 Yrs,15 Yrs,0.016149068
10 Yrs,16 Yrs,0.01242236
10 Yrs,17 Yrs,0.007630878
10 Yrs,18 Yrs,0.008695652
10 Yrs,19 Yrs,0.005856256
10 Yrs,2 Yrs,0.029991127
10 Yrs,20 Yrs,0.010647737
10 Yrs,21 Yrs,0.004968944
10 Yrs,22 Yrs,0.005146406
10 Yrs,23 Yrs,0.002129547
10 Yrs,24 Yrs,0.003016859
10 Yrs,3 Yrs,0.040993789
10 Yrs,4 Yrs,0.040993789
10 Yrs,5 Yrs,0.091215617
10 Yrs,6 Yrs,0.097249335
10 Yrs,7 Yrs,0.098314108
10 Yrs,8 Yrs,0.104347826
10 Yrs,9 Yrs,0.10310559
10 Yrs,> 25 Yrs,0.020053239
11 Yrs,0 Yr,0.106135987
11 Yrs,1 Yr,0.054726368
11 Yrs,10 Yrs,0.07960199
11 Yrs,11 Yrs,0.077943615
11 Yrs,12 Yrs,0.054726368
11 Yrs,13 Yrs,0.026533997
11 Yrs,14 Yrs,0.024875622
11 Yrs,15 Yrs,0.016583748
11 Yrs,16 Yrs,0.014925373
11 Yrs,17 Yrs,0.008291874
11 Yrs,18 Yrs,0.009950249
11 Yrs,19 Yrs,0.009950249
11 Yrs,2 Yrs,0.03814262
11 Yrs,20 Yrs,0.018242123
11 Yrs,21 Yrs,0.00331675
11 Yrs,22 Yrs,0.00331675
11 Yrs,23 Yrs,0.00331675
11 Yrs,24 Yrs,0.009950249
11 Yrs,3 Yrs,0.026533997
11 Yrs,4 Yrs,0.026533997
11 Yrs,5 Yrs,0.053067993
11 Yrs,6 Yrs,0.063018242
11 Yrs,7 Yrs,0.069651741
11 Yrs,8 Yrs,0.077943615
11 Yrs,9 Yrs,0.094527363
11 Yrs,> 25 Yrs,0.028192371
12 Yrs,0 Yr,0.065268065
12 Yrs,1 Yr,0.032634033
12 Yrs,10 Yrs,0.106060606
12 Yrs,11 Yrs,0.074592075
12 Yrs,12 Yrs,0.07983683
12 Yrs,13 Yrs,0.028554779
12 Yrs,14 Yrs,0.021561772
12 Yrs,15 Yrs,0.020979021
12 Yrs,16 Yrs,0.012237762
12 Yrs,17 Yrs,0.007575758
12 Yrs,18 Yrs,0.015151515
12 Yrs,19 Yrs,0.006410256
12 Yrs,2 Yrs,0.041375291
12 Yrs,20 Yrs,0.015151515
12 Yrs,21 Yrs,0.008158508
12 Yrs,22 Yrs,0.006993007
12 Yrs,23 Yrs,0.004079254
12 Yrs,24 Yrs,0.004662005
12 Yrs,3 Yrs,0.042540793
12 Yrs,4 Yrs,0.048951049
12 Yrs,5 Yrs,0.052447552
12 Yrs,6 Yrs,0.054778555
12 Yrs,7 Yrs,0.066433566
12 Yrs,8 Yrs,0.078088578
12 Yrs,9 Yrs,0.076923077
12 Yrs,> 25 Yrs,0.028554779
13 Yrs,0 Yr,0.13340935
13 Yrs,1 Yr,0.043329532
13 Yrs,10 Yrs,0.083238312
13 Yrs,11 Yrs,0.051311288
13 Yrs,12 Yrs,0.084378563
13 Yrs,13 Yrs,0.059293044
