job_minexp,normalised_experience,min_exp_score
0 Yr,0 Yr,0.510080493
0 Yr,1 Yr,0.172645281
0 Yr,10 Yrs,0.006767023
0 Yr,11 Yrs,0.002898613
0 Yr,12 Yrs,0.002963266
0 Yr,13 Yrs,0.001627103
0 Yr,14 Yrs,0.001691756
0 Yr,15 Yrs,0.002327511
0 Yr,16 Yrs,0.001659429
0 Yr,17 Yrs,0.000808164
0 Yr,18 Yrs,0.001045225
0 Yr,19 Yrs,0.000592653
0 Yr,2 Yrs,0.110244281
0 Yr,20 Yrs,0.000926694
0 Yr,21 Yrs,0.000549551
0 Yr,22 Yrs,0.000603429
0 Yr,23 Yrs,0.000420245
0 Yr,24 Yrs,0.000431021
0 Yr,3 Yrs,0.075256188
0 Yr,4 Yrs,0.0388134
0 Yr,5 Yrs,0.024923763
0 Yr,6 Yrs,0.013975841
0 Yr,7 Yrs,0.01059233
0 Yr,8 Yrs,0.008782044
0 Yr,9 Yrs,0.006346778
0 Yr,> 25 Yrs,0.003027919
1 Yr,0 Yr,0.139673617
1 Yr,1 Yr,0.239022571
1 Yr,10 Yrs,0.009091691
1 Yr,11 Yrs,0.004474145
1 Yr,12 Yrs,0.005822124
1 Yr,13 Yrs,0.002609918
1 Yr,14 Yrs,0.002724639
1 Yr,15 Yrs,0.002810681
1 Yr,16 Yrs,0.002237072
1 Yr,17 Yrs,0.001089856
1 Yr,18 Yrs,0.001491382
1 Yr,19 Yrs,0.000745691
1 Yr,2 Yrs,0.201938796
1 Yr,20 Yrs,0.001577423
1 Yr,21 Yrs,0.00071701
1 Yr,22 Yrs,0.000573608
1 Yr,23 Yrs,0.000487567
1 Yr,24 Yrs,0.000401526
1 Yr,3 Yrs,0.150801618
1 Yr,4 Yrs,0.089454212
1 Yr,5 Yrs,0.063441076
1 Yr,6 Yrs,0.033728167
1 Yr,7 Yrs,0.017638455
1 Yr,8 Yrs,0.014168125
1 Yr,9 Yrs,0.010210227
1 Yr,> 25 Yrs,0.003068804
10 Yrs,0 Yr,0.022556391
10 Yrs,1 Yr,0.011476059
10 Yrs,10 Yrs,0.079145231
10 Yrs,11 Yrs,0.059358924
10 Yrs,12 Yrs,0.08547685
10 Yrs,13 Yrs,0.066481994
10 Yrs,14 Yrs,0.063316185
10 Yrs,15 Yrs,0.088246933
10 Yrs,16 Yrs,0.057380293
10 Yrs,17 Yrs,0.03086664
10 Yrs,18 Yrs,0.037989711
10 Yrs,19 Yrs,0.031262366
10 Yrs,2 Yrs,0.013058963
10 Yrs,20 Yrs,0.04946577
10 Yrs,21 Yrs,0.022952117
10 Yrs,22 Yrs,0.024139296
10 Yrs,23 Yrs,0.018599129
10 Yrs,24 Yrs,0.018994856
10 Yrs,3 Yrs,0.011476059
10 Yrs,4 Yrs,0.007123071
10 Yrs,5 Yrs,0.007914523
10 Yrs,6 Yrs,0.01028888
10 Yrs,7 Yrs,0.01028888
10 Yrs,8 Yrs,0.024139296
10 Yrs,9 Yrs,0.028096557
10 Yrs,> 25 Yrs,0.119905026
11 Yrs,10 Yrs,0.033057851
11 Yrs,11 Yrs,0.016528926
11 Yrs,12 Yrs,0.082644628
11 Yrs,13 Yrs,0.016528926
11 Yrs,14 Yrs,0.049586777
11 Yrs,15 Yrs,0.123966942
11 Yrs,16 Yrs,0.090909091
11 Yrs,17 Yrs,0.066115702
11 Yrs,18 Yrs,0.049586777
11 Yrs,19 Yrs,0.033057851
11 Yrs,2 Yrs,0.008264463
11 Yrs,20 Yrs,0.115702479
11 Yrs,21 Yrs,0.107438017
11 Yrs,22 Yrs,0.074380165
11 Yrs,23 Yrs,0.008264463
11 Yrs,24 Yrs,0.016528926
11 Yrs,3 Yrs,0.008264463
11 Yrs,6 Yrs,0.033057851
11 Yrs,8 Yrs,0.008264463
11 Yrs,9 Yrs,0.008264463
11 Yrs,> 25 Yrs,0.049586777
12 Yrs,0 Yr,0.018292683
12 Yrs,10 Yrs,0.021341463
12 Yrs,11 Yrs,0.024390244
12 Yrs,12 Yrs,0.082317073
12 Yrs,13 Yrs,0.079268293
12 Yrs,14 Yrs,0.103658537
12 Yrs,15 Yrs,0.094512195
12 Yrs,16 Yrs,0.067073171
12 Yrs,17 Yrs,0.048780488
12 Yrs,18 Yrs,0.067073171
12 Yrs,19 Yrs,0.024390244
12 Yrs,2 Yrs,0.00304878
12 Yrs,20 Yrs,0.073170732
