user_industry,job_industry,Industry_Score
- Any -,BPO / Call Center,0.63
- Any -,IT - Software,0.13
- Any -,Education / Training,0.05
- Any -,Pharma / Biotech,0.05
- Any -,Quality Certification,0.04
- Any -,Advertising / MR / PR / Events,0.03
- Any -,Automobile / Auto Ancillaries,0.01
- Any -,Engineering / Construction,0.01
- Any -,Export-Import / Trading,0.01
- Any -,Hotel / Restaurant,0.01
- Any -,IT - Hardware / Networking,0.01
- Any -,Recruitment Services,0.01
Advertising / MR / PR / Events,IT - Software,0.2
Advertising / MR / PR / Events,Advertising / MR / PR / Events,0.15
Advertising / MR / PR / Events,BPO / Call Center,0.1
Advertising / MR / PR / Events,Internet / E-Commerce,0.05
Advertising / MR / PR / Events,Banking / Financial Services,0.04
Advertising / MR / PR / Events,Education / Training,0.04
Advertising / MR / PR / Events,Media / Dotcom / Entertainment,0.03
Advertising / MR / PR / Events,Manufacturing,0.03
Advertising / MR / PR / Events,Recruitment Services,0.03
Advertising / MR / PR / Events,Fresher (No Industry),0.03
Advertising / MR / PR / Events,Printing / Packaging,0.03
Advertising / MR / PR / Events,FMCG / F&B,0.03
Advertising / MR / PR / Events,Automobile / Auto Ancillaries,0.02
Advertising / MR / PR / Events,Quality Certification,0.02
Advertising / MR / PR / Events,Medical / Healthcare,0.02
Advertising / MR / PR / Events,Insurance,0.01
Advertising / MR / PR / Events,Travel / Tourism,0.01
Advertising / MR / PR / Events,Pharma / Biotech,0.01
Advertising / MR / PR / Events,Textile / Garments / Fashion,0.01
Advertising / MR / PR / Events,Engineering / Construction,0.01
Advertising / MR / PR / Events,Telecom / ISP,0.01
Advertising / MR / PR / Events,Paper / Wood,0.01
Advertising / MR / PR / Events,Consumer Durables / Electronics,0.01
Advertising / MR / PR / Events,Retail,0.01
Advertising / MR / PR / Events,Hotel / Restaurant,0.01
Advertising / MR / PR / Events,Real Estate,0.01
Advertising / MR / PR / Events,IT - Hardware / Networking,0.01
Advertising / MR / PR / Events,Management Consulting / Strategy,0.01
Advertising / MR / PR / Events,Logistics / Courier / Transportation,0
Advertising / MR / PR / Events,Gems / Jewellery,0
Advertising / MR / PR / Events,Personal Care / Beauty,0
Advertising / MR / PR / Events,Architecture / Interior Design,0
Advertising / MR / PR / Events,Chemical / Plastic / Rubber / Glass,0
Advertising / MR / PR / Events,Environment / Waste Management,0
Advertising / MR / PR / Events,Industrial Design,0
Advertising / MR / PR / Events,NGO / Social Work,0
Advertising / MR / PR / Events,KPO / Analytics,0
Advertising / MR / PR / Events,Animation,0
Advertising / MR / PR / Events,Aviation / Airline,0
Advertising / MR / PR / Events,Fertilizers / Pesticides,0
Advertising / MR / PR / Events,Power / Energy,0
Advertising / MR / PR / Events,M,0
Advertising / MR / PR / Events,Metal / Iron / Steel,0
Advertising / MR / PR / Events,Sculpture / Craft,0
Advertising / MR / PR / Events,Export-Import / Trading,0
Advertising / MR / PR / Events,Furnishings / Sanitaryware / Electricals,0
Advertising / MR / PR / Events,Security / Detective Services,0
Advertising / MR / PR / Events,Agriculture / Dairy,0
Advertising / MR / PR / Events,Government Department,0
Advertising / MR / PR / Events,Legal,0
Advertising / MR / PR / Events,Oil & Gas / Petroleum,0
Advertising / MR / PR / Events,A,0
Advertising / MR / PR / Events,Astrology,0
Advertising / MR / PR / Events,Banking /,0
Advertising / MR / PR / Events,Cement / Building Material,0
Advertising / MR / PR / Events,Gifts / Toys / Stationary,0
Advertising / MR / PR / Events,Secu,0
Advertising / MR / PR / Events,Sports / Fitness,0
Advertising / MR / PR / Events,Trav,0
Agriculture / Dairy,BPO / Call Center,0.2
Agriculture / Dairy,Manufacturing,0.1
Agriculture / Dairy,Banking / Financial Services,0.08
Agriculture / Dairy,FMCG / F&B,0.07
Agriculture / Dairy,IT - Software,0.07
Agriculture / Dairy,Fresher (No Industry),0.06
Agriculture / Dairy,Pharma / Biotech,0.05
Agriculture / Dairy,Quality Certification,0.04
Agriculture / Dairy,Agriculture / Dairy,0.03
Agriculture / Dairy,Recruitment Services,0.02
Agriculture / Dairy,Education / Training,0.02
Agriculture / Dairy,Engineering / Construction,0.02
Agriculture / Dairy,Advertising / MR / PR / Events,0.02
Agriculture / Dairy,Fertilizers / Pesticides,0.02
Agriculture / Dairy,Automobile / Auto Ancillaries,0.01
Agriculture / Dairy,Real Estate,0.01
Agriculture / Dairy,Management Consulting / Strategy,0.01
Agriculture / Dairy,Textile / Garments / Fashion,0.01
Agriculture / Dairy,Internet / E-Commerce,0.01
Agriculture / Dairy,Logistics / Courier / Transportation,0.01
Agriculture / Dairy,Medical / Healthcare,0.01
Agriculture / Dairy,Power / Energy,0.01
Agriculture / Dairy,Retail,0.01
Agriculture / Dairy,Export-Import / Trading,0.01
Agriculture / Dairy,Telecom / ISP,0.01
Agriculture / Dairy,Chemical / Plastic / Rubber / Glass,0.01
Agriculture / Dairy,Consumer Durables / Electronics,0.01
Agriculture / Dairy,Insurance,0.01
Agriculture / Dairy,Hotel / Restaurant,0.01
Agriculture / Dairy,Legal,0.01
Agriculture / Dairy,Paper / Wood,0.01
Agriculture / Dairy,Travel / Tourism,0.01
Agriculture / Dairy,Furnishings / Sanitaryware / Electricals,0
Agriculture / Dairy,Aviation / Airline,0
Agriculture / Dairy,Metal / Iron / Steel,0
Agriculture / Dairy,NGO / Social Work,0
Agriculture / Dairy,Architecture / Interior Design,0
