Candidate City,Job City,City_Score
Delhi,Delhi,0.3632
Delhi,Noida,0.14
Delhi,Gurgaon,0.136
Delhi,Mumbai,0.036
Delhi,Pune,0.031
Delhi,Bangalore,0.0306
Delhi,Faridabad,0.0299
Delhi,Ghaziabad,0.0252
Delhi,Chennai,0.0222
Delhi,United States of America,0.017
Delhi,Hyderabad,0.0164
Delhi,Kolkata,0.010845
Delhi,Mohali,0.007488
Delhi,Bhopal,0.006748
Delhi,Ahmedabad,0.006574
Delhi,Lucknow,0.005248
Delhi,United Arab Emirates,0.005171
Delhi,Jaipur,0.004616
Delhi,Chandigarh,0.004405
Delhi,Kanpur,0.003895
Delhi,Indore,0.003564
Delhi,Mysore,0.003292
Delhi,Singapore,0.002638
Delhi,Vadodara,0.002451
Delhi,Patna,0.002204
Delhi,Other Haryana,0.002161
Delhi,Other Rajasthan,0.001969
Delhi,Other Bihar,0.001955
Delhi,Ludhiana,0.001939
Delhi,Moradabad,0.001853
Delhi,Kochi,0.001796
Delhi,Meerut,0.001772
Delhi,Surat,0.00161
Delhi,Guwahati,0.001571
Delhi,Canada,0.001549
Delhi,Faizabad,0.001547
Delhi,Saudi Arabia,0.001469
Delhi,Rajkot,0.001381
Delhi,Other Madhya Pradesh,0.001338
Delhi,Australia,0.001332
Delhi,Panchkula,0.001284
Delhi,United Kingdom,0.001259
Delhi,Virgin Islands (US),0.001202
Delhi,Jalandhar,0.001179
Delhi,Other Uttarakhand,0.001136
Delhi,Dehradun,0.001131
Delhi,Coimbatore,0.001121
Delhi,Other Maharashtra,0.001043
Delhi,Nagpur,0.001025
Delhi,Other Himachal Pradesh,0.000892
Delhi,Other Gujarat,0.000891
Delhi,Qatar,0.000891
Delhi,Vishakhapatnam,0.000885
Delhi,Raipur,0.000853
Delhi,Nellore,0.000844
Delhi,Gandhinagar,0.000834
Delhi,Other Uttar Pradesh,0.000819
Delhi,Hong Kong,0.000816
Delhi,Varanasi,0.000806
Delhi,Rohtak,0.000805
Delhi,Oman,0.00078
Delhi,Amritsar,0.000758
Delhi,Jamshedpur,0.000731
Delhi,Bokaro,0.000697
Delhi,Ranchi,0.000682
Delhi,Kota,0.000681
Delhi,Asansol,0.00061
Delhi,Durgapur,0.000609
Delhi,Mathura,0.000598
Delhi,Thiruvanananthapuram,0.000586
Delhi,Ambala,0.000582
Delhi,Bhubaneswar,0.000574
Delhi,Nashik,0.000564
Delhi,Agra,0.000561
Delhi,Germany,0.000559
Delhi,Allahabad,0.000554
Delhi,Other Andhra Pradesh,0.000541
Delhi,Vijayawada,0.0005
Delhi,Other Kerala,0.000494
Delhi,Other Karnataka,0.000493
Delhi,Bharuch,0.00049
Delhi,Kuwait,0.000487
Delhi,Jamnagar,0.000479
Delhi,Karnal,0.000478
Delhi,Other Jharkhand,0.000444
Delhi,Dhanbad,0.000442
Delhi,Bhillai,0.000432
Delhi,Panipat,0.000428
Delhi,Roorkee,0.000414
Delhi,Other West Bengal,0.000412
Delhi,Bareilly,0.000408
Delhi,Other Goa,0.000408
Delhi,Ireland,0.000403
Delhi,Panaji,0.000396
Delhi,New Zealand,0.000392
Delhi,Thailand,0.000392
Delhi,Udaipur,0.000378
Delhi,Vasco da Gama,0.000372
Delhi,NULL,0.000367
Delhi,Mangalore,0.000342
Delhi,South Africa,0.000335
Delhi,Jabalpur,0.000334
Delhi,Cuttack,0.000332
Delhi,Madurai,0.000321
Delhi,Malaysia,0.00032
Delhi,Belgaum,0.000312
Delhi,Other Chattisgarh,0.000311
Delhi,Guntur,0.000301
Delhi,Kurnool,0.000293
Delhi,Gwalior,0.000292
Delhi,Ankleshwar,0.000287
Delhi,Bathinda,0.000286
Delhi,Ajmer,0.000285
Delhi,Jodhpur,0.000274
Delhi,Tuticorin,0.000274
Delhi,Pathankot,0.000273
Delhi,Vapi,0.000272
Delhi,Patiala,0.00027
Delhi,Gorakhpur,0.000269
Delhi,Kozhikode,0.000267
Delhi,Other Punjab,0.00026
Delhi,China,0.000256
Delhi,Shimla,0.000255
Delhi,Other Tamil Nadu,0.000248
Delhi,Valsad,0.000241
Delhi,Other Orrisa,0.000235
Delhi,Bahrain,0.000233
Delhi,Aurangabad,0.000228
Delhi,Pondicherry,0.000227
Delhi,Solapur,0.000219
Delhi,Cuddalore,0.000216
Delhi,Palakkad,0.000216
Delhi,Kolar,0.000215
Delhi,Other Jammu-Kashmir,0.000213
Delhi,Thrissur,0.0002
Delhi,Srinagar,0.000199
Delhi,Erode,0.000198
Delhi,Hubli,0.000198
Delhi,Guntakal,0.000194
Delhi,Shillong,0.000181
Delhi,Other Assam,0.000177
Delhi,Kottayam,0.000175
Delhi,Hisar,0.000174
Delhi,Hosur,0.000174
Delhi,Puri,0.000169
Delhi,Netherlands,0.000166
Delhi,Jammu,0.000165
Delhi,Bilaspur,0.000161
Delhi,Dharwad,0.000157
Delhi,Anand,0.000151
Delhi,Rajahmundry,0.000151
Delhi,Nepal,0.000147
Delhi,Bangladesh,0.000143
Delhi,Siliguri,0.000133
Delhi,Dalhousie,0.000131
Delhi,Salem,0.000128
Delhi,Silvassa,0.000128
Delhi,Other Dadar and Nagar Haveli,0.000126
Delhi,Austria,0.00012
Delhi,Belgium,0.000111
Delhi,Gangtok,0.00011
Delhi,Kharagpur,0.00011
Delhi,Aligarh,0.000109
Delhi,Philippines,0.000105
Delhi,Kurukshetra,0.000103
Delhi,Kenya,0.000101
Delhi,Bellary,0.0001
Delhi,Ujjain,0.000094
Delhi,Bhavnagar,0.000091
Delhi,Tiruchirappalli,0.000091
Delhi,Porbandar,0.00009
Delhi,Indonesia,0.000089
Delhi,Vellore,0.000089
Delhi,Other Arunachal Pradesh,0.000087
Delhi,Nigeria,0.000086
Delhi,Tirupati,0.000085
Delhi,Jalgaon,0.000084
Delhi,Warangal,0.000082
Delhi,Ahmednagar,0.00008
Delhi,Daman,0.000078
Delhi,Itanagar,0.000077
Delhi,Turkey,0.000074
Delhi,Kolhapur,0.000073
Delhi,Rourkela,0.000073
Delhi,Bhuj,0.000069
Delhi,Virgin Islands (UK),0.000069
Delhi,Nizamabad,0.000068
Delhi,Thirunelveli,0.000068
Delhi,Kandla,0.000067
Delhi,Other Lakshadweep,0.000065
Delhi,Bhagalpur,0.000062
Delhi,Haldia,0.000061
Delhi,Gulbarga,0.00006
Delhi,Japan,0.000058
Delhi,Dimapur,0.000054
Delhi,Silchar,0.000054
Delhi,Swaziland,0.000054
Delhi,Sweden,0.000051
Delhi,Anantpur,0.00005
Delhi,Russia,0.00005
Delhi,Rwanda,0.00005
Delhi,Dharamsala,0.000047
Delhi,Thanjavur,0.000047
