JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3580511,541,2258,07-07-2015,07,07,2015
3580511,545,1711,09-07-2015,09,07,2015
3600865,15763,9915,11-07-2015,11,07,2015
3523314,14140,244336,27-06-2015,27,06,2015
3523314,0,0,03-07-2015,03,07,2015
3523314,14043,222459,06-08-2015,06,08,2015
3511823,9362,41980,25-06-2015,25,06,2015
3544971,3174,5297,02-07-2015,02,07,2015
3550739,1461,57438,02-07-2015,02,07,2015
3550739,1458,52739,03-07-2015,03,07,2015
3531975,0,0,30-06-2015,30,06,2015
3531975,0,0,03-07-2015,03,07,2015
3638746,349,2517,16-07-2015,16,07,2015
3638746,362,275,18-07-2015,18,07,2015
3638746,362,48,28-07-2015,28,07,2015
3638746,364,35,30-07-2015,30,07,2015
3638746,367,78,01-08-2015,01,08,2015
3638746,356,69,04-08-2015,04,08,2015
3638746,352,39,06-08-2015,06,08,2015
3557861,4893,65778,03-07-2015,03,07,2015
3557861,4892,60145,04-07-2015,04,07,2015
3557861,4869,67281,23-07-2015,23,07,2015
3557861,4853,61329,25-07-2015,25,07,2015
3556915,292,20,02-07-2015,02,07,2015
3556915,294,0,04-07-2015,04,07,2015
3603935,3,773,11-07-2015,11,07,2015
3654369,133,4,21-07-2015,21,07,2015
3633573,186,35368,16-07-2015,16,07,2015
3633573,183,33793,18-07-2015,18,07,2015
3580043,1440,95599,07-07-2015,07,07,2015
3580043,1450,92032,09-07-2015,09,07,2015
3557081,43,23,02-07-2015,02,07,2015
3557081,42,10,04-07-2015,04,07,2015
3583613,10,11,07-07-2015,07,07,2015
3583613,9,1,09-07-2015,09,07,2015
3583613,8,4,23-07-2015,23,07,2015
3524047,86,5393,27-06-2015,27,06,2015
3524047,0,0,03-07-2015,03,07,2015
3616207,0,35,14-07-2015,14,07,2015
3616207,0,36,16-07-2015,16,07,2015
3590379,785,12796,09-07-2015,09,07,2015
3531979,0,0,30-06-2015,30,06,2015
3531979,0,0,03-07-2015,03,07,2015
3583869,11,836,09-07-2015,09,07,2015
3486909,45157,43667,20-06-2015,20,06,2015
3578971,1,2,07-07-2015,07,07,2015
3567065,30,4404,04-07-2015,04,07,2015
3617735,1968,31396,14-07-2015,14,07,2015
3617735,1902,30572,16-07-2015,16,07,2015
3522587,939,82356,27-06-2015,27,06,2015
3522587,0,0,03-07-2015,03,07,2015
3544269,2,20,30-06-2015,30,06,2015
3544269,2,15,02-07-2015,02,07,2015
3600039,5543,35484,09-07-2015,09,07,2015
3600039,5668,2152,11-07-2015,11,07,2015
3499889,11,659,23-06-2015,23,06,2015
3533465,160,18643,30-06-2015,30,06,2015
3533465,158,12738,02-07-2015,02,07,2015
3533465,0,0,03-07-2015,03,07,2015
3532835,339,0,30-06-2015,30,06,2015
3532835,334,0,02-07-2015,02,07,2015
3571701,122,2593,07-07-2015,07,07,2015
3569807,0,0,04-07-2015,04,07,2015
3667873,4983,4948,23-07-2015,23,07,2015
3577169,1888,22674,07-07-2015,07,07,2015
3626099,403,9127,16-07-2015,16,07,2015
3626099,406,9229,28-07-2015,28,07,2015
3626099,410,9335,30-07-2015,30,07,2015
3626099,415,9499,01-08-2015,01,08,2015
3626099,410,9402,04-08-2015,04,08,2015
3626099,409,9360,06-08-2015,06,08,2015
3626099,409,9355,08-08-2015,08,08,2015
3571705,0,0,07-07-2015,07,07,2015
3667651,406,3654,23-07-2015,23,07,2015
3531051,150,85,30-06-2015,30,06,2015
3610017,3870,15183,11-07-2015,11,07,2015
3529771,931,2041,30-06-2015,30,06,2015
3529771,931,6940,02-07-2015,02,07,2015
3529771,0,0,03-07-2015,03,07,2015
3529771,966,7521,06-08-2015,06,08,2015
3529771,966,6820,08-08-2015,08,08,2015
3529771,977,7136,11-08-2015,11,08,2015
3695559,996,26554,28-07-2015,28,07,2015
3695559,990,20404,30-07-2015,30,07,2015
3695559,984,11430,06-08-2015,06,08,2015
3510243,7773,138535,25-06-2015,25,06,2015
3510243,7871,83791,23-07-2015,23,07,2015
3579037,2247,10754,07-07-2015,07,07,2015
3536731,2304,4912,02-07-2015,02,07,2015
3555223,838,8706,03-07-2015,03,07,2015
3555223,835,7332,04-07-2015,04,07,2015
3680593,0,2056,25-07-2015,25,07,2015
3680593,0,2017,01-08-2015,01,08,2015
3680593,0,1362,08-08-2015,08,08,2015
3619539,20219,43897,14-07-2015,14,07,2015
3619539,19546,43079,16-07-2015,16,07,2015
3542285,2772,46,02-07-2015,02,07,2015
3626189,28,1036,16-07-2015,16,07,2015
3626189,29,992,28-07-2015,28,07,2015
3626189,32,1012,30-07-2015,30,07,2015
3626189,31,1049,01-08-2015,01,08,2015
3626189,31,980,04-08-2015,04,08,2015
3626189,32,994,06-08-2015,06,08,2015
3626189,30,983,08-08-2015,08,08,2015
3687173,293,144,28-07-2015,28,07,2015
3551061,3,200,02-07-2015,02,07,2015
3522865,1225,31745,27-06-2015,27,06,2015
3522865,0,0,03-07-2015,03,07,2015
3557119,2344,16273,02-07-2015,02,07,2015
3557119,2343,15011,04-07-2015,04,07,2015
3569401,356,7941,04-07-2015,04,07,2015
3538213,3,8,30-06-2015,30,06,2015
3538213,3,3,02-07-2015,02,07,2015
3452087,5233,29003,11-06-2015,11,06,2015
3452087,5470,29793,02-07-2015,02,07,2015
3452087,5472,25785,04-07-2015,04,07,2015
3452087,5604,30561,14-07-2015,14,07,2015
3452087,5392,27685,16-07-2015,16,07,2015
3452087,5625,26995,08-08-2015,08,08,2015
3571545,1396,36661,07-07-2015,07,07,2015
3553277,27,0,04-07-2015,04,07,2015
3680361,8,164,25-07-2015,25,07,2015
3680361,7,143,01-08-2015,01,08,2015
3680361,7,137,08-08-2015,08,08,2015
3544271,2598,5314,30-06-2015,30,06,2015
3544271,2621,4876,02-07-2015,02,07,2015
3600379,3091,62767,11-07-2015,11,07,2015
3531971,4124,8265,30-06-2015,30,06,2015
3605195,834,1065,11-07-2015,11,07,2015
3603545,2987,117,11-07-2015,11,07,2015
3579833,10,13,07-07-2015,07,07,2015
3579833,8,7,09-07-2015,09,07,2015
3584893,1030,12787,07-07-2015,07,07,2015
3584893,1044,4109,09-07-2015,09,07,2015
3690829,15,2351,28-07-2015,28,07,2015
3690829,16,2438,30-07-2015,30,07,2015
3553169,658,1,04-07-2015,04,07,2015
3687417,1957,8884,28-07-2015,28,07,2015
3668353,206,2125,23-07-2015,23,07,2015
3668353,208,2027,25-07-2015,25,07,2015
3668353,213,1973,28-07-2015,28,07,2015
3668353,211,2015,30-07-2015,30,07,2015
3668353,211,2146,01-08-2015,01,08,2015
3668353,205,2172,04-08-2015,04,08,2015
3569755,41,44,04-07-2015,04,07,2015
3527135,0,0,03-07-2015,03,07,2015
3687807,6270,3012,28-07-2015,28,07,2015
3578399,40,29,07-07-2015,07,07,2015
3638919,0,0,23-07-2015,23,07,2015
3638919,0,0,25-07-2015,25,07,2015
3551361,1154,571,02-07-2015,02,07,2015
3551361,1158,1474,04-07-2015,04,07,2015
3551361,1149,1527,07-07-2015,07,07,2015
3551361,1154,1596,09-07-2015,09,07,2015
3551361,1165,943,11-07-2015,11,07,2015
3551361,1177,1617,14-07-2015,14,07,2015
3551361,1144,958,16-07-2015,16,07,2015
3551361,1146,1282,18-07-2015,18,07,2015
3551361,1132,1621,21-07-2015,21,07,2015
3551361,1134,453,23-07-2015,23,07,2015
3538409,163,1042,30-06-2015,30,06,2015
3538409,167,953,02-07-2015,02,07,2015
3538409,0,0,03-07-2015,03,07,2015
3626341,802,27032,16-07-2015,16,07,2015
3614665,3539,33095,11-07-2015,11,07,2015
3529631,7854,17256,27-06-2015,27,06,2015
3529631,0,0,03-07-2015,03,07,2015
3525851,925,47379,02-07-2015,02,07,2015
3695903,7,14029,28-07-2015,28,07,2015
3695903,6,11640,30-07-2015,30,07,2015
3503215,4358,3240,25-06-2015,25,06,2015
3631271,2496,23197,16-07-2015,16,07,2015
3631271,2538,15612,18-07-2015,18,07,2015
3579383,2,8,07-07-2015,07,07,2015
3579383,2,9,09-07-2015,09,07,2015
3648641,385,5084,18-07-2015,18,07,2015
3446759,350,12,20-06-2015,20,06,2015
3531555,7111,15132,30-06-2015,30,06,2015
3507687,4871,98425,23-06-2015,23,06,2015
3507687,4904,876,25-06-2015,25,06,2015
3605689,297,774,16-07-2015,16,07,2015
3605689,306,227,18-07-2015,18,07,2015
3605689,296,820,04-08-2015,04,08,2015
3605689,309,341,06-08-2015,06,08,2015
3617439,22616,62869,14-07-2015,14,07,2015
3617439,21745,48843,16-07-2015,16,07,2015
3585367,1845,614,09-07-2015,09,07,2015
3570487,12828,41316,04-07-2015,04,07,2015
3558555,14259,80957,07-07-2015,07,07,2015
3552877,4,26,02-07-2015,02,07,2015
3552877,4,15,04-07-2015,04,07,2015
3552877,7,7,06-08-2015,06,08,2015
3654761,22,29,21-07-2015,21,07,2015
3580367,3111,126766,07-07-2015,07,07,2015
3580367,3112,115840,09-07-2015,09,07,2015
3681891,188,23165,25-07-2015,25,07,2015
3668159,69,1941,23-07-2015,23,07,2015
3668159,66,1090,25-07-2015,25,07,2015
3531057,102,2147,30-06-2015,30,06,2015
3531057,0,0,03-07-2015,03,07,2015
3531057,0,0,03-07-2015,03,07,2015
3531057,0,0,03-07-2015,03,07,2015
3647867,381,366,18-07-2015,18,07,2015
3687113,213,6684,25-07-2015,25,07,2015
3619013,54,168,16-07-2015,16,07,2015
3567031,121,2014,04-07-2015,04,07,2015
3523317,362,1160,27-06-2015,27,06,2015
3523317,0,0,03-07-2015,03,07,2015
3513613,69,696,25-06-2015,25,06,2015
3513613,74,705,27-06-2015,27,06,2015
3521185,3,112,25-06-2015,25,06,2015
3521185,2,113,27-06-2015,27,06,2015
3530133,533,1292,30-06-2015,30,06,2015
3530133,0,0,03-07-2015,03,07,2015
3421887,0,40,04-06-2015,04,06,2015
3421887,0,39,06-06-2015,06,06,2015
3540889,1553,4707,02-07-2015,02,07,2015
3689681,2999,10523,28-07-2015,28,07,2015
3689681,3036,6913,30-07-2015,30,07,2015
3558327,147,3452,07-07-2015,07,07,2015
3610491,216,696,11-07-2015,11,07,2015
3673483,3,83,23-07-2015,23,07,2015
3673483,2,71,25-07-2015,25,07,2015
3673483,3,71,28-07-2015,28,07,2015
3673483,3,55,30-07-2015,30,07,2015
3673483,3,71,01-08-2015,01,08,2015
3532921,26508,252146,30-06-2015,30,06,2015
3532921,26744,248392,02-07-2015,02,07,2015
3685259,1188,16051,25-07-2015,25,07,2015
3639835,273,8903,18-07-2015,18,07,2015
3639835,262,8616,28-07-2015,28,07,2015
3639835,279,8501,30-07-2015,30,07,2015
3639835,274,8404,04-08-2015,04,08,2015
3639835,272,7955,08-08-2015,08,08,2015
3547547,1322,21679,02-07-2015,02,07,2015
3702329,85,222,30-07-2015,30,07,2015
3530765,3398,22721,02-07-2015,02,07,2015
3530765,1346,5023,07-07-2015,07,07,2015
3696811,9346,9537,30-07-2015,30,07,2015
3601765,651,3,11-07-2015,11,07,2015
3600071,16749,78194,09-07-2015,09,07,2015
3600071,17056,4312,11-07-2015,11,07,2015
3632719,96,1533,16-07-2015,16,07,2015
3529233,25,399,27-06-2015,27,06,2015
3529233,0,0,03-07-2015,03,07,2015
3624289,19998,64362,14-07-2015,14,07,2015
3624289,0,0,16-07-2015,16,07,2015
3558423,0,0,03-07-2015,03,07,2015
3558423,0,0,04-07-2015,04,07,2015
3636081,4375,1215,16-07-2015,16,07,2015
3636081,4475,62,18-07-2015,18,07,2015
3538057,14,29,30-06-2015,30,06,2015
3538057,13,31,02-07-2015,02,07,2015
3594783,1944,7183,09-07-2015,09,07,2015
3594783,1977,3282,11-07-2015,11,07,2015
3579703,98,1236,07-07-2015,07,07,2015
3579703,97,1487,09-07-2015,09,07,2015
3626237,32,9,16-07-2015,16,07,2015
3579931,226,561,07-07-2015,07,07,2015
3579931,222,405,09-07-2015,09,07,2015
3558283,10,284,07-07-2015,07,07,2015
3647647,2,631,21-07-2015,21,07,2015
3696907,290,3326,30-07-2015,30,07,2015
3673863,581,31335,23-07-2015,23,07,2015
3673863,579,29222,25-07-2015,25,07,2015
3630741,0,0,16-07-2015,16,07,2015
3596439,133,395,09-07-2015,09,07,2015
3596439,130,14,11-07-2015,11,07,2015
3547365,0,0,02-07-2015,02,07,2015
3596451,78,0,09-07-2015,09,07,2015
3596451,80,0,11-07-2015,11,07,2015
2284301,402,4751,12-10-2014,12,10,2014
2284301,407,5978,13-10-2014,13,10,2014
2284301,383,6074,12-11-2014,12,11,2014
2284301,352,5597,13-11-2014,13,11,2014
